date,game,match_type,my_duration,rp_earned,premade_squad,squad_placed,teamate_count,my_legend,teamate_1_legend,teamate_2_legend,my_damage,teamate_1_damage,teamate_2_damage,my_kills,teamate_1_kills,teamate_2_kills,meta_score,team_damage,team_kills,counter
12/9/2022,276,ranked,97,-49,no,19,2,Crypto,Pathfinder,Mirage,135,79,334,0,0,1,-1,548,1,170
12/9/2022,278,ranked,187,-49,no,15,2,Wattson,Vantage,Catalyst,133,214,407,0,0,0,0,754,0,171
12/9/2022,279,ranked,906,-29,no,8,2,Wattson,Loba,Caustic,536,548,211,0,0,0,0,1295,0,172
12/9/2022,280,ranked,1222,91,no,3,2,Vantage,Catalyst,Revenant,882,672,1472,2,1,2,-1,3026,5,173
1/11/2023,399,ranked,1188,133,no,3,2,Vantage,Lifeline,Loba,1262,1080,1269,2,1,4,0,3611,7,174
1/11/2023,400,ranked,144,-52,no,18,2,Vantage,Wraith,Lifeline,229,175,0,0,0,0,1,404,0,175
1/11/2023,401,ranked,356,-47,no,12,2,Vantage,Newcastle,Maggie,50,279,111,0,0,0,1,440,0,176
1/11/2023,402,ranked,117,-52,no,19,2,Vantage,Loba,Pathfinder,129,276,50,0,0,0,0,455,0,177
1/11/2023,404,ranked,351,-47,no,11,2,Vantage,Octane,Valkyrie,78,625,145,0,0,0,1,848,0,178
1/12/2023,405,ranked,886,22,no,8,2,Vantage,Octane,Maggie,943,355,971,2,0,2,0,2269,4,179
1/12/2023,407,ranked,1035,41,no,5,2,Vantage,Horizon,Octane,535,186,426,2,0,1,1,1147,3,180
1/12/2023,411,ranked,166,-52,no,16,2,Maggie,Bloodhound,Gibraltar,116,137,128,0,0,0,2,381,0,181
1/12/2023,412,ranked,149,-52,no,18,2,Maggie,Horizon,Wraith,144,205,263,0,0,0,2,612,0,182
1/12/2023,413,ranked,541,-22,no,9,2,Maggie,Valkyrie,Mirage,438,355,359,2,0,0,0,1152,2,183
